 > > Entra Private Access,Δ,Δ,✔
 > > Entra ID Governance add-on to Entra ID Plan 2,,+,✔
 > > > Entitlement Management (premium),,⊡,✔
 > > > Identity Governance Dashboard,,⊡,✔
 > > > Lifecycle Workflows,,⊡,✔
 > > > ML Assisted Access Reviews,,⊡,✔
 > > Entra Verified ID Premium,Δ,Δ,✔
 > > > Face Check,⊡,⊡,✔
Entra Verified ID,✔,✔,✔
Entra Workload ID Premium,Δ,Δ,Δ
 > Access Reviews,⊡,⊡,⊡
 > Entra ID Protection,⊡,⊡,⊡
 > Risk-Based Conditional Access,⊡,⊡,⊡
 > Entra Workload ID Free,Δ,Δ,Δ
 > > Basic Security & Usage Reports,⊡,⊡,⊡
 > > Identity Federation,⊡,⊡,⊡
Microsoft Priva,,,
Privacy Risk Management,+,+,+
Subject Rights Requests,+,+,+
Microsoft Purview,,,
Data Catalog,Δ,Δ,Δ
Data Estate Insights,Δ,Δ,Δ
Data Map,Δ,Δ,Δ
Data Policy,Δ,Δ,Δ
Microsoft Security Experts,,,
Defender Experts for Hunting,,+,+
Defender Experts for XDR,,+,+
Communications,,,
Azure Comm. Services,Δ,Δ,Δ
Calling Plans,,+,+
Comms. Credits,,+,+
Digital Contact Centre,Δ,Δ,Δ
EHR Connector for Teams,+,+,+
Microsoft eCDN,+,+,+
Teams Audio Conferencing (free add-on),Δ,✔,✔
Teams Enterprise,+,+,+
Teams Essentials,,,
Teams Operator Connect,,+,+
Teams Phone Mobile,Δ,Δ,Δ
Teams Premium,+,+,+
 > Advanced Collaboration Tools,⊡,⊡,⊡
 > Advanced Meetings,⊡,⊡,⊡
 > Advanced Meetings Protection,⊡,⊡,⊡
 > Advanced Virtual Appointments,⊡,⊡,⊡
 > Intelligent Recap,⊡,⊡,⊡
 > Live Caption Translation,⊡,⊡,⊡
 > Microsoft Places (premium),⊡,⊡,⊡
 > PowerPoint Live Chapters,⊡,⊡,⊡
 > Queues App,⊡,⊡,⊡
Teams Rooms,+,+,+
Extra Capacity,,,
AI Builder Capacity,Δ,Δ,Δ
Dataverse Storage,+,+,+
SharePoint Storage,+,+,+
Universal Print Jobs,+,+,+
Support Services,,,
ProDirect Support for Azure,Δ,Δ,Δ
ProDirect Support for Dynamics 365,Δ,Δ,Δ
ProDirect Support for Microsoft 365,Δ,Δ,Δ
Unified Support,Δ,Δ,Δ
Education,,,
Azure Dev Tools for Teaching,,,
Class Notebook,,,
Employee Experience,,,
LinkedIn Learning,+,+,+
Viva Suite,+,+,+
 > Copilot in Viva Learning (preview),⊡,⊡,⊡
 > Skills in Viva (preview),⊡,⊡,⊡
 > Viva Learning (premium),+,+,+
 > Viva Workplace Analytics & Employee Feedback,+,+,+
 > > Copilot in Viva Glint,⊡,⊡,⊡
 > > Viva Glint,+,+,+
" > > Viva Insights - Manager, Leader, Analyst",+,+,+
 > > Viva Pulse,⊡,⊡,⊡
 > Viva Employee Communications & Communities,+,+,+
 > > Copilot in Viva Amplify,⊡,⊡,⊡
 > > Copilot in Viva Engage,⊡,⊡,⊡
 > > Answers in Viva,⊡,⊡,⊡
 > > People in Viva,⊡,⊡,⊡
 > > Viva Amplify,⊡,⊡,⊡
 > > Viva Connections (50 instances),⊡,⊡,⊡
 > > Viva Engage (premium),⊡,⊡,⊡
Power Platform,,,
AI Builder,Δ,Δ,Δ
Copilot Studio,Δ,Δ,Δ
Microsoft Dataverse,Δ,Δ,Δ
Power Apps,Δ,Δ,Δ
Power Automate,Δ,Δ,Δ
Power Automate Process Mining,Δ,Δ,Δ
Power BI Premium,Δ,Δ,Δ
Power Pages,Δ,Δ,Δ
Companion Products & Services,,,
App Assure,+,+,+
Azure Virtual Desktop,Δ,Δ,Δ
Clipchamp Standard,✔,✔,✔
Drive Shipping for PST import,Δ,Δ,Δ
Dynamics 365 Customer Voice,Δ,Δ,Δ
Microsoft Industry Clouds,Δ,Δ,Δ
Microsoft 365 Dev Program,Δ,Δ,Δ
Planner & Project,+,+,+
SharePoint Embedded,Δ,Δ,Δ
Visio Online,+,+,+
Windows 365 Business,Δ,Δ,Δ
Windows 365 Enterprise,+,+,+
Windows 365 Frontline,+,+,+
Workplace Discount Program,+,+,+
Automation & Intelligence,,,
Document Processing for Microsoft 365,+,+,+
Microsoft 365 Copilot (Premium),+,+,✔
